secs	accel
0.200000	-0.075195
2.700000	-0.004639
10.400000	0.217529
30.400000	-0.285889
88.700000	0.136475
96.100000	-0.058838
99.000000	-0.001221
104.200000	0.158691
111.800000	-0.304688
117.800000	-0.012207
130.600000	0.137451
149.400000	0.142822
158.900000	-0.107666
165.000000	0.182617
173.900000	-0.056396
177.400000	-0.035156
178.100000	-0.052734
179.300000	-0.033447
181.000000	0.066650
186.900000	-0.189941
197.600000	0.058594
200.500000	0.004639
206.500000	-0.064941
208.800000	-0.007568
213.900000	0.162354
217.200000	0.015137
226.900000	0.174805
230.800000	-0.012207
231.200000	0.008545
235.000000	-0.085205
260.300000	0.186523
268.800000	-0.199951
277.000000	0.020508
280.800000	0.113037
286.200000	-0.061035
294.500000	0.021729
295.600000	0.031250
296.500000	0.009277
296.900000	0.007812
298.000000	-0.027100
321.700000	0.221924
327.400000	-0.027588
328.200000	-0.036865
329.100000	-0.015137
335.500000	0.154541
345.000000	-0.268799
352.300000	0.006104
352.700000	0.001221
353.400000	0.011230
353.900000	0.008301
354.300000	-0.007812
355.000000	-0.015137
355.500000	-0.001709
357.200000	0.045410
359.200000	0.053223
359.900000	-0.022949
361.800000	-0.049072
380.200000	0.187012
384.100000	0.026123
387.400000	-0.070068
394.400000	0.126953
405.300000	0.005615
406.800000	-0.007812
407.200000	0.002441
408.400000	0.026611
418.400000	0.159668
426.300000	-0.177246
437.400000	0.123047
440.300000	-0.017578
446.300000	-0.094482
449.200000	-0.021973
449.700000	-0.010742
450.300000	0.048584
458.600000	0.225342
465.700000	-0.029785
466.800000	-0.017578
467.700000	-0.007812
475.900000	0.199951
487.500000	-0.090820
489.900000	0.084717
498.200000	-0.154297
512.200000	0.075684
514.100000	0.046875
515.700000	-0.106201
521.100000	0.046631
523.800000	-0.000977
538.000000	0.163330
543.100000	-0.047607
545.300000	-0.001465
550.300000	0.152100
577.100000	-0.293701
592.700000	0.134521
596.000000	0.021240
597.100000	0.010010
597.700000	0.010986
598.700000	0.010742
599.300000	-0.012451
600.300000	-0.015625
601.500000	0.007812
613.400000	0.183105
618.700000	-0.010254
621.900000	-0.064453
629.600000	0.175781
634.900000	0.001709
635.700000	0.003418
639.700000	-0.041992
640.600000	-0.004150
643.200000	0.137207
654.100000	-0.199707
660.300000	0.063232
662.300000	0.006592
666.400000	-0.161621
686.500000	0.189453
692.800000	-0.009277
693.600000	0.005615
